,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio,IsFake
73,abelrhmanouf,317,257,13,False,False,False,1.0,0.8107255520504731,19.76923076923077,24.384615384615387,False
74,9ic.2,5054,546,125,False,True,True,0.4,0.10803324099722993,4.368,40.431999999999995,False
75,salh7199,797,513,26,False,True,True,0.5,0.64366373902133,19.73076923076923,30.653846153846153,False
76,yamkawaii,930,567,458,False,False,False,1.0,0.6096774193548387,1.237991266375546,2.03056768558952,False
77,mouna_khaled98,101,248,14,True,True,True,0.7857142857142857,2.4554455445544554,17.714285714285715,7.2142857142857135,False
78,fgfhhhh2,5,56,1,False,True,True,0.875,11.2,56.0,5.0,False
79,3.an2_,224,304,1,False,True,False,0.3333333333333333,1.3571428571428572,304.0,224.0,True
80,93majnon,156,513,7,False,True,False,0.75,3.2884615384615383,73.28571428571429,22.285714285714285,True
81,farahwaleedd_,1951,406,12,False,False,False,0.9230769230769232,0.20809841107124552,33.833333333333336,162.58333333333334,False
82,_7vgl,13,139,6,True,True,False,0.6,10.692307692307693,23.16666666666667,2.1666666666666665,False
83,7y_my,10600,260,0,False,True,False,0.6,0.024528301886792454,inf,inf,False
84,bdllhsyry8941,17,127,0,False,True,True,0.6923076923076923,7.470588235294117,inf,inf,True
85,danahbaj,392,348,64,False,False,False,1.0,0.8877551020408163,5.4375,6.125,False
86,ii_fortnitev,157,140,3,False,False,False,0.9166666666666666,0.89171974522293,46.66666666666666,52.33333333333334,False
87,gufvuiip1188,355,117,119,False,True,True,0.6666666666666666,0.3295774647887324,0.9831932773109244,2.9831932773109244,False
88,dazai.ix,84,279,2,False,False,False,0.875,3.321428571428572,139.5,42.0,False
89,wahaj_7469,6,13,62,False,True,True,0.5,2.1666666666666665,0.20967741935483872,0.0967741935483871,False
90,azoz_alrja,136,383,95,False,False,False,0.9,2.8161764705882355,4.031578947368422,1.431578947368421,False
91,0wwss,38,37,0,False,True,False,0.8,0.9736842105263158,inf,inf,True
92,su2__2,1,14,0,True,True,True,0.3333333333333333,14.0,inf,inf,True
93,f_hd211,2,7,1,False,True,True,0.42857142857142855,3.5,7.0,2.0,False
94,mnourah512,16,129,0,False,True,True,0.7,8.0625,inf,inf,True
95,f.qr_,974,370,10,False,False,False,0.6,0.3798767967145791,37.0,97.4,False
96,abdo__a_z,179,156,5,False,False,False,0.6666666666666666,0.8715083798882681,31.2,35.8,False
97,ma_oh98,14700,726,7,False,True,True,0.5714285714285714,0.04938775510204082,103.71428571428572,2100.0,False
98,rahaf.hegazy,102,253,2,True,False,False,0.9166666666666666,2.480392156862745,126.5,51.0,True
99,21_alfiljawi,1044,1289,34,True,True,False,0.75,1.2346743295019158,37.911764705882355,30.705882352941174,True
100,cczvy,1358,60,93,False,False,False,1.0,0.04418262150220914,0.6451612903225806,14.602150537634408,False
101,liwil0,1706,626,118,False,True,True,0.8333333333333334,0.3669402110199297,5.305084745762712,14.457627118644067,False
102,mostafa_almishal,6500,1972,149,False,False,False,0.9375,0.30338461538461536,13.23489932885906,43.62416107382551,False
103,tota190__,10,96,2,True,True,False,0.4444444444444444,9.6,48.0,5.0,True
104,shamyalrashdy,3,20,4,False,False,False,1.0,6.666666666666668,5.0,0.75,False
105,nancyy_paull,1456,322,2,True,False,False,0.9166666666666666,0.22115384615384612,161.0,728.0,False
106,rainbowpanda13553882191,15,905,2,False,True,True,0.5217391304347826,60.33333333333334,452.5,7.5,True
107,aljoury77_9,71,353,2,False,True,True,0.6363636363636364,4.971830985915493,176.5,35.5,True
108,_._islxxm_._,652,566,23,False,False,False,0.5,0.8680981595092024,24.608695652173914,28.347826086956523,False
109,aboodalzwahra4,2149,69,16,False,True,True,0.9285714285714286,0.03210795718939041,4.3125,134.3125,False
110,medhat_tharwat_,6206,694,16,False,False,False,0.8666666666666667,0.1118272639381244,43.375,387.875,False
111,akib_8670,581,220,14,False,True,True,0.4444444444444444,0.3786574870912221,15.714285714285715,41.5,False
112,mr.achu96,266,551,75,False,True,True,0.6666666666666666,2.071428571428572,7.346666666666668,3.546666666666667,False
